PC: 0x00000000800003a0, INSTR: 0x8a9d8d9b, REG x27: 0xfffffffffcbd58a9
PC: 0x00000000800003a4, INSTR: 0x00cd9d93, REG x27: 0xffffffcbd58a9000
PC: 0x00000000800003a8, INSTR: 0x8fdd8d93, REG x27: 0xffffffcbd58a88fd
PC: 0x00000000800003ac, INSTR: 0x00cd9d93, REG x27: 0xfffcbd58a88fd000
PC: 0x00000000800003b0, INSTR: 0x797d8d93, REG x27: 0xfffcbd58a88fd797
PC: 0x00000000800003b4, INSTR: 0x00cd9d93, REG x27: 0xcbd58a88fd797000
PC: 0x00000000800003b8, INSTR: 0xae6d8d93, REG x27: 0xcbd58a88fd796ae6
PC: 0x00000000800003bc, INSTR: 0x0060ee37, REG x28: 0x000000000060e000
PC: 0x00000000800003c0, INSTR: 0x629e0e1b, REG x28: 0x000000000060e629
PC: 0x00000000800003c4, INSTR: 0x00de1e13, REG x28: 0x0000000c1cc52000
PC: 0x00000000800003c8, INSTR: 0x16fe0e13, REG x28: 0x0000000c1cc5216f
PC: 0x00000000800003cc, INSTR: 0x00de1e13, REG x28: 0x00018398a42de000
PC: 0x00000000800003d0, INSTR: 0x67de0e13, REG x28: 0x00018398a42de67d
PC: 0x00000000800003d4, INSTR: 0x00ce1e13, REG x28: 0x18398a42de67d000
PC: 0x00000000800003d8, INSTR: 0xa09e0e13, REG x28: 0x18398a42de67ca09
PC: 0x00000000800003dc, INSTR: 0x9cb08eb7, REG x29: 0xffffffff9cb08000
PC: 0x00000000800003e0, INSTR: 0x893e8e9b, REG x29: 0xffffffff9cb07893
PC: 0x00000000800003e4, INSTR: 0x00fe9e93, REG x29: 0xffffce583c498000
PC: 0x00000000800003e8, INSTR: 0x8bbe8e93, REG x29: 0xffffce583c4978bb
PC: 0x00000000800003ec, INSTR: 0x010e9e93, REG x29: 0xce583c4978bb0000
PC: 0x00000000800003f0, INSTR: 0x867e8e93, REG x29: 0xce583c4978baf867
PC: 0x00000000800003f4, INSTR: 0x00265f37, REG x30: 0x0000000000265000
PC: 0x00000000800003f8, INSTR: 0x761f0f1b, REG x30: 0x0000000000265761
PC: 0x00000000800003fc, INSTR: 0x00cf1f13, REG x30: 0x0000000265761000
PC: 0x0000000080000400, INSTR: 0x5bff0f13, REG x30: 0x00000002657615bf
PC: 0x0000000080000404, INSTR: 0x00df1f13, REG x30: 0x00004caec2b7e000
PC: 0x0000000080000408, INSTR: 0x5e1f0f13, REG x30: 0x00004caec2b7e5e1
PC: 0x000000008000040c, INSTR: 0x00ef1f13, REG x30: 0x132bb0adf9784000
PC: 0x0000000080000410, INSTR: 0xc4af0f13, REG x30: 0x132bb0adf9783c4a
PC: 0x0000000080000414, INSTR: 0xfef2cfb7, REG x31: 0xfffffffffef2c000
PC: 0x0000000080000418, INSTR: 0x7c3f8f9b, REG x31: 0xfffffffffef2c7c3
PC: 0x000000008000041c, INSTR: 0x00cf9f93, REG x31: 0xffffffef2c7c3000
PC: 0x0000000080000420, INSTR: 0xf1ff8f93, REG x31: 0xffffffef2c7c2f1f
PC: 0x0000000080000424, INSTR: 0x00ef9f93, REG x31: 0xfffbcb1f0bc7c000
PC: 0x0000000080000428, INSTR: 0x5e9f8f93, REG x31: 0xfffbcb1f0bc7c5e9
PC: 0x000000008000042c, INSTR: 0x00cf9f93, REG x31: 0xbcb1f0bc7c5e9000
PC: 0x0000000080000430, INSTR: 0xb47f8f93, REG x31: 0xbcb1f0bc7c5e8b47
PC: 0x0000000080000434, INSTR: 0x408d043b, REG x8: 0xffffffffc0d0eb0e
PC: 0x0000000080000438, INSTR: 0x416cd89b, REG x17: 0x000000000000014e
PC: 0x000000008000043c, INSTR: 0x40508d33, REG x26: 0xab031280004db71f
PC: 0x0000000080000440, INSTR: 0x41cc0033
PC: 0x0000000080000444, INSTR: 0x004ccdb3, REG x27: 0xcd24d92e0019c88d
PC: 0x0000000080000448, INSTR: 0x408010ef, REG x1: 0x000000008000044c
PC: 0x0000000080001850, INSTR: 0xff010113, REG x2: 0x000000008004fef0
PC: 0x0000000080001854, INSTR: 0x01013023, MEM 0x000000008004fef0: 0xb7f5496dcf53fa1d
PC: 0x0000000080001858, INSTR: 0xff010113, REG x2: 0x000000008004fee0
PC: 0x000000008000185c, INSTR: 0x01713023, MEM 0x000000008004fee0: 0x0449f6a92106292a
PC: 0x0000000080001860, INSTR: 0xff010113, REG x2: 0x000000008004fed0
PC: 0x0000000080001864, INSTR: 0x00413023, MEM 0x000000008004fed0: 0xd6abb84853b12b19
PC: 0x0000000080001868, INSTR: 0xff010113, REG x2: 0x000000008004fec0
PC: 0x000000008000186c, INSTR: 0x00b13023, MEM 0x000000008004fec0: 0x9ed2af91fdca4225
PC: 0x0000000080001870, INSTR: 0xff010113, REG x2: 0x000000008004feb0
PC: 0x0000000080001874, INSTR: 0x01913023, MEM 0x000000008004feb0: 0x1b8f616653a8e394
PC: 0x0000000080001878, INSTR: 0xff010113, REG x2: 0x000000008004fea0
PC: 0x000000008000187c, INSTR: 0x00613023, MEM 0x000000008004fea0: 0x295919a888ba6d8f
PC: 0x0000000080001880, INSTR: 0xff010113, REG x2: 0x000000008004fe90
PC: 0x0000000080001884, INSTR: 0x01b13023, MEM 0x000000008004fe90: 0xcd24d92e0019c88d
PC: 0x0000000080001888, INSTR: 0xff010113, REG x2: 0x000000008004fe80
PC: 0x000000008000188c, INSTR: 0x00313023, MEM 0x000000008004fe80: 0x93b51aa09532c481
PC: 0x0000000080001890, INSTR: 0xff010113, REG x2: 0x000000008004fe70
PC: 0x0000000080001894, INSTR: 0x01d13023, MEM 0x000000008004fe70: 0xce583c4978baf867
PC: 0x0000000080001898, INSTR: 0xff010113, REG x2: 0x000000008004fe60
PC: 0x000000008000189c, INSTR: 0x01113023, MEM 0x000000008004fe60: 0x000000000000014e
PC: 0x00000000800018a0, INSTR: 0xff010113, REG x2: 0x000000008004fe50
PC: 0x00000000800018a4, INSTR: 0x01813023, MEM 0x000000008004fe50: 0x1806ec315bca007a
PC: 0x00000000800018a8, INSTR: 0xff010113, REG x2: 0x000000008004fe40
PC: 0x00000000800018ac, INSTR: 0x01313023, MEM 0x000000008004fe40: 0x0bc636907cd8af20
PC: 0x00000000800018b0, INSTR: 0xff010113, REG x2: 0x000000008004fe30
PC: 0x00000000800018b4, INSTR: 0x00e13023, MEM 0x000000008004fe30: 0x77f10586a22046ca
PC: 0x00000000800018b8, INSTR: 0x9f732217, REG x4: 0x000000001f7338b8
PC: 0x00000000800018bc, INSTR: 0x41aade93, REG x29: 0x0000000efc86f43e
PC: 0x00000000800018c0, INSTR: 0x01311c1b, REG x24: 0xfffffffff1800000
PC: 0x00000000800018c4, INSTR: 0x00000313, REG x6: 0x0000000000000000
PC: 0x00000000800018c8, INSTR: 0x00400c93, REG x25: 0x0000000000000004
PC: 0x00000000800018cc, INSTR: 0x0040006f
PC: 0x00000000800018d0, INSTR: 0x4822c813, REG x16: 0x4c9813c4762c1f5e
PC: 0x00000000800018d4, INSTR: 0x41200733, REG x14: 0xc4a688e72c514251
