PC: 0x0000000080000498, INSTR: 0x40019d37, REG x26: 0x0000000040019000
PC: 0x000000008000049c, INSTR: 0x94bd0d1b, REG x26: 0x000000004001894b
PC: 0x00000000800004a0, INSTR: 0x001d1d13, REG x26: 0x0000000080031296
PC: 0x00000000800004a4, INSTR: 0xebed6803, REG x16: 0x0000000000000000, MEM 0x0000000080031154
PC: 0x00000000800004a8, INSTR: 0x00160613, REG x12: 0x0000000000000002
PC: 0x00000000800004ac, INSTR: 0xfe7646e3
PC: 0x0000000080000498, INSTR: 0x40019d37, REG x26: 0x0000000040019000
PC: 0x000000008000049c, INSTR: 0x94bd0d1b, REG x26: 0x000000004001894b
PC: 0x00000000800004a0, INSTR: 0x001d1d13, REG x26: 0x0000000080031296
PC: 0x00000000800004a4, INSTR: 0xebed6803, REG x16: 0x0000000000000000, MEM 0x0000000080031154
